builder_name,community_low_price,community_high_price,name,telephone,address_locality,address_region,postal_code,latitude,longitude
Lennar,"$394,990","$470,990",Young Ranch - Vista Collection,888-282-0311,Katy,TX,77494,29.765200,-95.872800
Lennar,"$420,990","$493,990",Young Ranch - Texas Reserve Collection,888-243-0129,Katy,TX,77494,29.765200,-95.872800
Perry Homes,"$346,900","$490,900",Cross Creek Ranch 50',888-257-0793,Fulshear,TX,77441,29.716834,-95.879225
Perry Homes,"$430,900","$599,900",Cross Creek Ranch 55',888-263-9404,Fulshear,TX,77441,29.721807,-95.875396
Highland Homes,"$433,990","$554,735",Cross Creek Ranch,972-532-0581,Fulshear,TX,77441,29.721902,-95.875305
Coventry Homes,"$455,990","$670,217",Firethorne West 70',888-269-5841,Katy,TX,77494,29.761714,-95.867990
Tri Pointe Homes,"$356,900","$402,536",Cross Creek Ranch 45,888-258-1501,Fulshear,TX,77441,29.722027,-95.875042
Perry Homes,"$621,900","$644,900",Firethorne 70',888-224-8591,Katy,TX,77494,29.759260,-95.868044
Perry Homes,"$407,900","$572,900",Firethorne 60',888-312-0849,Katy,TX,77494,29.761779,-95.867798
Ashton Woods,"$381,990","$546,456",Firethorne,888-406-8084,Katy,TX,77494,29.761714,-95.867665
Tri Pointe Homes,"$598,900","$852,517",Fulshear Run 1/2 Acre,888-232-9172,Richmond,TX,77406,29.682526,-95.887185
Taylor Morrison,"$286,990","$313,990",Bonterra at Cross Creek Ranch 50s,281-205-0703,Fulshear,TX,77441,29.707545,-95.875529
Taylor Morrison,"$240,990","$240,990",Bonterra at Cross Creek Ranch 45s,281-631-5933,Fulshear,TX,77441,29.707318,-95.875589
Taylor Morrison,"$378,490","$419,990",Bonterra at Cross Creek Ranch 60s,281-853-9964,Fulshear,TX,77441,29.707684,-95.875368
Darling  Homes,"$429,990","$484,490",Bonterra at Cross Creek Ranch 60s,888-237-4044,Fulshear,TX,77441,29.707954,-95.874583
Gehan Homes,"$304,990","$429,990",Tamarron,888-237-0268,Katy,TX,77494,29.735721,-95.866935
Darling  Homes,"$303,990","$311,990",Bonterra at Cross Creek Ranch Cottages,888-304-8416,Fulshear,TX,77441,29.707754,-95.874583
Tri Pointe Homes,"$535,900","$605,900",Cross Creek Ranch 65',888-230-0119,Fulshear,TX,77441,29.719711,-95.869214
Perry Homes,"$558,900","$708,900",Cross Creek Ranch 65',888-451-2705,Fulshear,TX,77441,29.719921,-95.869116
Perry Homes,"$478,900","$668,900",Cross Creek Ranch 60',888-451-2460,Fulshear,TX,77441,29.722097,-95.867473
Lennar,"$394,990","$470,990",Young Ranch - Vista Collection,888-282-0311,Katy,TX,77494,29.765200,-95.872800
Lennar,"$420,990","$493,990",Young Ranch - Texas Reserve Collection,888-243-0129,Katy,TX,77494,29.765200,-95.872800
Perry Homes,"$346,900","$490,900",Cross Creek Ranch 50',888-257-0793,Fulshear,TX,77441,29.716834,-95.879225
Perry Homes,"$430,900","$599,900",Cross Creek Ranch 55',888-263-9404,Fulshear,TX,77441,29.721807,-95.875396
Highland Homes,"$433,990","$554,735",Cross Creek Ranch,972-532-0581,Fulshear,TX,77441,29.721902,-95.875305
Coventry Homes,"$455,990","$670,217",Firethorne West 70',888-269-5841,Katy,TX,77494,29.761714,-95.867990
Tri Pointe Homes,"$356,900","$402,536",Cross Creek Ranch 45,888-258-1501,Fulshear,TX,77441,29.722027,-95.875042
Perry Homes,"$621,900","$644,900",Firethorne 70',888-224-8591,Katy,TX,77494,29.759260,-95.868044
Perry Homes,"$407,900","$572,900",Firethorne 60',888-312-0849,Katy,TX,77494,29.761779,-95.867798
Ashton Woods,"$381,990","$546,456",Firethorne,888-406-8084,Katy,TX,77494,29.761714,-95.867665
Tri Pointe Homes,"$598,900","$852,517",Fulshear Run 1/2 Acre,888-232-9172,Richmond,TX,77406,29.682526,-95.887185
Taylor Morrison,"$286,990","$313,990",Bonterra at Cross Creek Ranch 50s,281-205-0703,Fulshear,TX,77441,29.707545,-95.875529
Taylor Morrison,"$240,990","$240,990",Bonterra at Cross Creek Ranch 45s,281-631-5933,Fulshear,TX,77441,29.707318,-95.875589
Taylor Morrison,"$378,490","$419,990",Bonterra at Cross Creek Ranch 60s,281-853-9964,Fulshear,TX,77441,29.707684,-95.875368
Darling  Homes,"$429,990","$484,490",Bonterra at Cross Creek Ranch 60s,888-237-4044,Fulshear,TX,77441,29.707954,-95.874583
Gehan Homes,"$304,990","$429,990",Tamarron,888-237-0268,Katy,TX,77494,29.735721,-95.866935
Darling  Homes,"$303,990","$311,990",Bonterra at Cross Creek Ranch Cottages,888-304-8416,Fulshear,TX,77441,29.707754,-95.874583
Tri Pointe Homes,"$535,900","$605,900",Cross Creek Ranch 65',888-230-0119,Fulshear,TX,77441,29.719711,-95.869214
Perry Homes,"$558,900","$708,900",Cross Creek Ranch 65',888-451-2705,Fulshear,TX,77441,29.719921,-95.869116
Perry Homes,"$478,900","$668,900",Cross Creek Ranch 60',888-451-2460,Fulshear,TX,77441,29.722097,-95.867473
Tri Pointe Homes,"$487,900","$596,532",Cross Creek Ranch 60,888-218-7916,Fulshear,TX,77441,29.722086,-95.867468
David Weekley Homes,"$339,990","$354,990",Cross Creek Ranch – Creek View 42’,832-426-3159,Fulshear,TX,77441,29.716926,-95.868461
David Weekley Homes,"$409,990","$440,079",Cross Creek Ranch – Creek View  50’,832-426-3159,Fulshear,TX,77441,29.716926,-95.868461
LGI Homes,"$214,900","$270,900",Freeman Ranch,877-517-6282,Katy,TX,77493,29.871842,-95.876495
Highland Homes,"$660,990","$823,654",Cane Island: 80ft. lots,972-532-0581,Katy,TX,77493,29.791131,-95.846885
Highland Homes,"$493,990","$624,963",Cane Island: 65ft. lots,972-532-0581,Katy,TX,77493,29.791317,-95.846799
Perry Homes,"$639,900","$820,900",Cane Island 80',888-453-6395,Katy,TX,77493,29.807691,-95.847126
Coventry Homes,"$538,874","$672,990",Cane Island 70',888-474-8957,Katy,TX,77493,29.796029,-95.844910
Shea Homes,"$536,990","$629,990",Cane Island,888-479-3305,Katy,TX,77493,29.796430,-95.844523
David Weekley Homes,"$339,990","$389,990",Cane Island - Elmwood Trails,832-426-3159,Katy,TX,77493,29.801160,-95.843539
Highland Homes,"$393,990","$514,045",Cane Island: 55ft. lots,972-532-0581,Katy,TX,77493,29.805769,-95.843578
Toll Brothers,"$617,923","$775,643",The Reserve at Katy - The Trace,888-347-7714,Katy,TX,77494,29.759944,-95.842537
Perry Homes,"$448,900","$576,900",Cane Island 60',888-391-7823,Katy,TX,77493,29.806373,-95.842467
Coventry Homes,"$395,990","$506,707",Cane Island 55' Homesites,888-402-9006,Katy,TX,77493,29.805971,-95.841944
Tri Pointe Homes,"$588,900","$651,900",LakeHouse 90,888-219-9656,Katy,TX,77493,29.831987,-95.846051
Tri Pointe Homes,"$480,900","$558,900",LakeHouse 70,888-213-2890,Katy,TX,77493,29.831987,-95.846051
Tri Pointe Homes,"$324,900","$388,900",LakeHouse 50,888-218-7273,Katy,TX,77493,29.831987,-95.846051
Tri Pointe Homes,"$394,900","$508,298",LakeHouse 60,888-225-0185,Katy,TX,77493,29.831987,-95.846051
Tri Pointe Homes,"$580,900","$691,900",Lakehouse 80',888-223-1501,Katy,TX,77493,29.831987,-95.846051
Perry Homes,"$376,900","$519,900",Cane Island 50',888-415-8493,Katy,TX,77493,29.802227,-95.840435
David Weekley Homes,"$404,990","$469,990",Cane Island - Monarch Fields,832-426-3159,Katy,TX,77493,29.805432,-95.840548
Lennar,"$388,990","$457,990",Falls at Green Meadows - Texas Reserve Collection,888-260-8474,Katy,TX,77493,29.805900,-95.837300
Tri Pointe Homes,"$663,396","$663,396",Grayson Woods 70',888-231-0294,Katy,TX,77494,29.762245,-95.824202
Coventry Homes,"$790,421","$790,421",Grayson Woods 70',888-215-6938,Katy,TX,77494,29.762707,-95.823782
